"Area","ED","Energy","SS","ResidueLength","PairNumber","NewPredicted"
4722.92,4019.64,-1600,13,79,317,2.33301852355142
4059.12,2191.03,-1146.08,20,54,165,1.5666959393223
4773.56,2787.99,-1263.38,46,67,224,3.41885284711247
8271.27,9545.98,-2848.93,26,138,554,3.83303790451548
7102.16,14148.8,-2381.15,85,120,809,2.97106344801484
7015.24,7336.79,-1699.8,22,95,427,4.16043282142857
8620.28,24949.9,-3198.06,35,157,1519,2.64556981858333
9238.73,39245.5,-2590,15,196,1885,2.84977896886264
12276.4,59742,-5101,56,249,2826,1.27016396095564
14165.5,140950,-1410,82,315,5844,3.27710764720466
7069.95,15336.6,-3000.09,81,133,847,0.428676595238095
10768.8,28521,-3732.37,61,214,1469,4.33938394817114
10255.7,66668,-6050,97,207,3048,0.113937716666667
6411.13,9698,-2686,59,104,652,1.2071211528667
8766.37,11524.1,-3270.78,44,156,654,4.02161534669353
9764.47,51960.7,-2510,16,188,2599,3.34809367532404
15208.6,90305.4,-2280,53,223,2059,2.50877978711559
6628.08,6490.83,-1923.04,23,100,485,1.03288385668449
7836.78,5545,-2661,41,126,371,0.34709868360167
10787.8,103850,-4705,85,237,4804,0.836400433362315
7347.39,13978,-3121,24,126,765,0.148611266666667
15563.6,110121,-6380,38,322,4619,3.46720105085766
5091.81,4269.08,-1520,10,79,317,2.14391303702126
3840,1433.37,-606.618,32,40,100,3.26210493522608
15435,144972,-5803.6,170,308,6057,3.53728811692222
13353.1,40216.5,-1760,43,234,1581,1.77939723488221
18609.3,300553,-12391,73,464,10829,0.0817030666666667
12024.8,115245,-2020,47,235,4905,2.60222902584661
23099.1,280276,-13215,264,465,8741,0.141777598859036
8334.2,9499.81,-2868.48,97,130,490,2.14122242692818
11983.7,46065.4,-5543.47,49,273,2061,3.52411658907846
18072.9,161030,-8830,91,388,6290,3.43285398598269
13071.6,151812,-6450,66,284,6506,0.313176666666667
19248.1,162489,-10600,88,388,6290,3.43013231259076
19217.4,205811,-10695,61,390,6741,1.58615119721438
9714.1,33873.2,-2730,56,234,1581,1.85497523719136
4911.72,2837.21,-1207.83,47,67,224,2.7774115604806
12894.8,60525,-4780,25,247,2754,3.16795155224351
